Date,Description,Amount
2026-05-01,SALARY ACME CORP,3200.00
2026-05-02,TESCO STORES 3297,-82.45
2026-05-03,NETFLIX.COM,-15.99
2026-05-04,AMZN MKTPLACE*0442,-34.20
2026-05-05,UBER *TRIP HELP.UBER.COM,-12.80
2026-05-06,STARBUCKS 1042,-4.65
2026-05-07,BRITISH GAS ENERGY,-98.00
2026-05-08,COUNCIL TAX MAY,-160.00
2026-05-10,SAINSBURYS S/MKT,-56.12
2026-05-12,SPOTIFY AB,-10.99
2026-05-14,SHELL PETROL 442,-58.40
2026-05-15,DELIVEROO LONDON,-24.50
2026-05-18,BOOTS PHARMACY 118,-14.25
2026-05-20,ATM WITHDRAWAL HIGH ST,-50.00
2026-05-22,REFUND ARGOS LTD,25.00
2026-05-24,ODEON CINEMAS,-22.00
2026-05-26,ALDI STORES 77,-43.30
2026-05-28,PUREGYM MEMBERSHIP,-27.99
2026-06-01,SALARY ACME CORP,3200.00
2026-06-02,TESCO STORES 3297,-91.10
2026-06-03,NETFLIX.COM,-15.99
2026-06-05,RYANAIR FR1224,-138.50
2026-06-07,AIRBNB *HMRZK2,-260.00
2026-06-09,PRET A MANGER 220,-8.75
2026-06-11,AMZN MKTPLACE*7781,-67.99
2026-06-13,BRITISH GAS ENERGY,-98.00
2026-06-15,COUNCIL TAX JUNE,-160.00
2026-06-17,UBER EATS LONDON,-31.40
2026-06-19,IKEA CROYDON,-120.00
2026-06-21,THAMES WATER,-42.00
2026-06-23,VUE CINEMAS,-18.50
2026-06-25,WAITROSE 4471,-61.85
2026-06-27,OVERDRAFT FEE,-6.00
